	Tag ID	Site	Species	Month	Treatment	Health 
BS3-2362-HD-C	2362	BS3	MCAV	November	Probiotic	HD
BS3-2362-DD-C	2362	BS3	MCAV	November	Probiotic	DD
BS3-2512-HH-C	2512	BS3	MCAV	November	Probiotic	HH
BS3-2549-HH-C	2549	BS3	MCAV	November	Untreated	HH
BS3-2799-HD-C	2799	BS3	MCAV	November	Control	HD
BS3-2799-DD-C	2799	BS3	MCAV	November	Control	DD
BS3-2513-HD-C	2513	BS3	MCAV	November	Probiotic	HD
BS3-2513-DD-C	2513	BS3	MCAV	November	Probiotic	DD
BS3-2265-HD-C	2265	BS3	MCAV	November	Control	HD
BS3-2265-DD-C	2265	BS3	MCAV	November	Control	DD
BS3-2365-HD-C	2365	BS3	MCAV	November	Control	HD
BS3-2365-DD-C	2365	BS3	MCAV	November	Control	DD
BS3-2769-HH-C	2769	BS3	MCAV	November	Probiotic	HH
BS3-2880-HH-C	2880	BS3	MCAV	November	Background	HH
BS3-2363-HH-C	2363	BS3	MCAV	November	Probiotic	HH
BS3-2516-HD-C	2516	BS3	MCAV	November	Background	HD
BS3-2516-DD-C	2516	BS3	MCAV	November	Background	DD
BS3-2366-HD-C	2366	BS3	MCAV	November	Control	HD
BS3-2366-DD-C	2366	BS3	MCAV	November	Control	DD
BS3-2266-HD-C	2266	BS3	MCAV	November	Probiotic	HD
BS3-2266-DD-C	2266	BS3	MCAV	November	Probiotic	DD
BS3-2568-HD-C	2568	BS3	MCAV	November	Probiotic	HD
BS3-2568-DD-C	2568	BS3	MCAV	November	Probiotic	DD
BS3-2506-HH-C	2506	BS3	MCAV	November	Background	HH
BS3-2507-HD-C	2507	BS3	MCAV	November	Background	HD
BS3-2507-DD-C	2507	BS3	MCAV	November	Background	DD
BS3-2429-HD-C	2429	BS3	MCAV	November	Control	HD
BS3-2429-DD-C	2429	BS3	MCAV	November	Control	DD
BS3-2268-HH-C	2268	BS3	MCAV	November	Probiotic	HH
BS3-2581-HD-C	2581	BS3	MCAV	November	Control	HD
BS3-2581-DD-C	2581	BS3	MCAV	November	Control	DD
BS3-2569-HH-C	2569	BS3	MCAV	November	Control	HH
BS3-2116-HH-C	2116	BS3	MCAV	November	Background	HH
BS3-2264-HD-C	2264	BS3	MCAV	November	Control	HD
BS3-2264-DD-C	2264	BS3	MCAV	November	Control	DD
BS3-2364-HD-C	2364	BS3	MCAV	November	Control	HD
BS3-2364-DD-C	2364	BS3	MCAV	November	Control	DD
BS3-2451-HH-C	2451	BS3	MCAV	November	Background	HH
BS3-2688-HH-C	2688	BS3	MCAV	November	Background	HH
BS3-2629-HH-C	2629	BS3	MCAV	November	Background	HH
BS3-2753-HD-C	2753	BS3	MCAV	November	Background	HD
BS3-2753-DD-C	2753	BS3	MCAV	November	Background	DD
BS3-2635-HD-C	2635	BS3	MCAV	November	Background	HD
BS3-2635-DD-C	2635	BS3	MCAV	November	Background	DD
BS3-2634-HD-C	2634	BS3	MCAV	November	Background	HD
BS3-2634-DD-C	2634	BS3	MCAV	November	Background	DD
BS3-2834-HD-C	2834	BS3	MCAV	November	Background	HD
BS3-2834-DD-C	2834	BS3	MCAV	November	Background	DD
BS3-2505-HD-C	2505	BS3	MCAV	November	Background	HD
BS3-2505-DD-C	2505	BS3	MCAV	November	Background	DD
BS3-2814-HD-C	2814	BS3	MCAV	November	Background	HD
BS3-2814-DD-C	2814	BS3	MCAV	November	Background	DD
BS3-2564-HH-C	2564	BS3	MCAV	November	Untreated	HH
BS3-2848-HH-C	2848	BS3	MCAV	November	Untreated	HH
BS3-2565-HH-C	2565	BS3	MCAV	November	Untreated	HH
BS3-2504-HH-C	2504	BS3	MCAV	November	Untreated	HH
BS3-2832-HH-C	2832	BS3	MCAV	November	Untreated	HH
BS3-2896-HH-C	2896	BS3	MCAV	November	Untreated	HH
BS3-2267-HH-C	2267	BS3	MCAV	November	Untreated	HH
BS3-2899-HH-C	2899	BS3	MCAV	November	Untreated	HH
BS3-2517-HH-C	2517	BS3	MCAV	November	Untreated	HH
BS3-2769-HD-C	2769	BS3	MCAV	November		HD
BS3-2899-HD-C	2899	BS3	MCAV	November		HD
BS3-2897-HH-C	2897	BS3	MCAV	November	Untreated	HH
BS3-2503-HH-C	2503	BS3	MCAV	November	Untreated	HH
BS3-2615-H-C	2615	BS3	MCAV	November	100% Healthy	H
BS3-2697-H-C	2697	BS3	MCAV	November	100% Healthy	H
BS3-2698-H-C	2698	BS3	MCAV	November	100% Healthy	H
BS3-2631-H-C	2631	BS3	MCAV	November	100% Healthy	H
BS3-2628-H-C	2628	BS3	MCAV	November	100% Healthy	H
BS3-SWBS-C	SW	BS3	SW	November		
BS3-SWBN-C	SW	BS3	SW	November		
MK48-5-2454-HD-A	2454	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2454-DD-A	2454	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2473-HD-A	2473	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2473-DD-A	2473	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2485-HD-A	2485	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2485-DD-A	2485	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2496-HD-A	2496	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2496-DD-A	2496	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2452-HD-A	2452	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2452-DD-A	2452	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2627-HD-A	2627	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2627-DD-A	2627	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2491-HD-A	2491	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2491-DD-A	2491	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2459-DD-A	2459	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2457-HD-A	2457	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2457-DD-A	2457	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2602-HD-A	2602	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2602-DD-A	2602	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2678-HD-A	2678	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2678-DD-A	2678	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2679-HD-A	2679	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2679-DD-A	2679	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2680-HD-A	2680	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2680-DD-A	2680	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2677-HD-A	2677	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2677-DD-A	2677	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2666-HD-A	2666	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2666-DD-A	2666	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2656-HD-A	2656	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2656-DD-A	2656	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2653-HD-A	2653	Mk48-5	MCAV	May	Probiotic	HD
MK48-5-2653-DD-A	2653	Mk48-5	MCAV	May	Probiotic	DD
MK48-5-2603-HD-A	2603	Mk48-5	MCAV	May	Control	HD
MK48-5-2603-DD-A	2603	Mk48-5	MCAV	May	Control	DD
MK48-5-2467-HD-A	2467	Mk48-6	MCAV	May	Control	HD
MK48-5-2467-DD-A	2467	Mk48-5	MCAV	May	Control	DD
MK48-5-2494-HD-A	2494	Mk48-5	MCAV	May	Control	HD
MK48-5-2494-DD-A	2494	Mk48-5	MCAV	May	Control	DD
MK48-5-2486-HD-A	2486	Mk48-5	MCAV	May	Control	HD
MK48-5-2486-DD-A	2486	Mk48-5	MCAV	May	Control	DD
MK48-5-2465-HD-A	2465	Mk48-5	MCAV	May	Control	HD
MK48-5-2465-DD-A	2465	Mk48-5	MCAV	May	Control	DD
MK48-5-2484-HD-A	2484	Mk48-5	MCAV	May	Control	HD
MK48-5-2484-DD-A	2484	Mk48-5	MCAV	May	Control	DD
MK48-5-2472-HD-A	2472	Mk48-5	MCAV	May	Control	HD
MK48-5-2472-DD-A	2472	Mk48-5	MCAV	May	Control	DD
MK48-5-2458-HD-A	2458	Mk48-5	MCAV	May	Control	HD
MK48-5-2458-DD-A	2458	Mk48-5	MCAV	May	Control	DD
MK48-5-2602-HD-AA	2602	Mk48-5	MCAV	May	Control	HD
MK48-5-2602-DD-AA	2602	Mk48-5	MCAV	May	Control	DD
MK48-5-2626-HD-A	2626	Mk48-5	MCAV	May	Control	HD
MK48-5-2626-DD-A	2626	Mk48-5	MCAV	May	Control	DD
MK48-5-2671-HD-A	2671	Mk48-5	MCAV	May	Control	HD
MK48-5-2671-DD-A	2671	Mk48-5	MCAV	May	Control	DD
MK48-5-2670-HD-A	2670	Mk48-5	MCAV	May	Control	HD
MK48-5-2670-DD-A	2670	Mk48-5	MCAV	May	Control	DD
MK48-5-2621-HD-A	2621	Mk48-5	MCAV	May	Control	HD
MK48-5-2621-HD-A	2621	Mk48-5	MCAV	May	Control	DD
MK48-5-2686-HD-A	2686	Mk48-5	MCAV	May	Control	HD
MK48-5-2686-DD-A	2686	Mk48-5	MCAV	May	Control	DD
MK48-5-2669-HD-A	2669	Mk48-5	MCAV	May	Control	HD
MK48-5-2669-DD-A	2669	Mk48-5	MCAV	May	Control	DD
MK48-5-2676-HD-A	2676	Mk48-5	MCAV	May	Control	HD
MK48-5-2676-DD-A	2676	Mk48-5	MCAV	May	Control	DD
MK48-5-2654-HD-A	2654	Mk48-5	MCAV	May	Control	HD
MK48-5-2654-DD-A	2654	Mk48-5	MCAV	May	Control	DD
MK48-5-2687-HD-A	2687	Mk48-5	MCAV	May	Control	HD
MK48-5-2687-DD-A	2687	Mk48-5	MCAV	May	Control	DD
MK48-5-2493-HD-A	2493	Mk48-5	MCAV	May	Background	HD
MK48-5-2493-DD-A	2493	Mk48-5	MCAV	May	Background	DD
MK48-5-2492-HD-A	2492	Mk48-5	MCAV	May	Background	HD
MK48-5-2492-DD-A	2492	Mk48-5	MCAV	May	Background	DD
MK48-5-2456-HD-A	2456	Mk48-5	MCAV	May	Background	HD
MK48-5-2456-DD-A	2456	Mk48-5	MCAV	May	Background	DD
MK48-5-2463-HD-A	2463	Mk48-5	MCAV	May	Background	HD
MK48-5-2463-DD-A	2463	Mk48-5	MCAV	May	Background	DD
MK48-5-2471-HD-A	2471	Mk48-5	MCAV	May	Background	HD
MK48-5-2471-DD-A	2471	Mk48-5	MCAV	May	Background	DD
MK48-5-2655-HD-A	2655	Mk48-5	MCAV	May	Background	HD
MK48-5-2655-DD-A	2655	Mk48-5	MCAV	May	Background	DD
MK48-5-2630-H-A	2630	Mk48-5	MCAV	May	100% Completely healthy	H
MK48-5-2495-H-A	2495	Mk48-5	MCAV	May	100% Completely healthy	H
MK48-5-2454-HH-B	2454	Mk48-5	MCAV	September	Probiotic	HH
MK48-5-2473-HH-B	2473	Mk48-5	MCAV	September	Probiotic	HH
MK48-5-2485-HD-B	2485	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2485-DD-B	2485	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2496-HD-B	2496	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2496-DD-B	2496	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2452-HD-B	2452	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2452-DD-B	2452	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2627-HD-B	2627	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2627-DD-B	2627	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2491-DD-B	2491	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2459-HD-B	2459	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2459-DD-B	2459	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2457-HH-B	2457	Mk48-5	MCAV	September	Probiotic	HH
MK48-5-2679-HD-B	2679	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2680-HD-B	2680	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2680-DD-B	2680	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2677-HD-B	2677	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2677-DD-B	2677	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2656-HH-B	2656	Mk48-5	MCAV	September	Probiotic	HH
MK48-5-2653-HD-B	2653	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2653-DD-B	2653	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2604-HD-B	2604	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2604-DD-B	2604	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2462-HD-B	2462	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2462-DD-B	2462	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2477-HD-B	2477	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2477-DD-B	2477	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2616-HD-B	2616	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2616-DD-B	2616	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2658-HD-B	2658	Mk48-5	MCAV	September	Probiotic	HD
MK48-5-2658-DD-B	2658	Mk48-5	MCAV	September	Probiotic	DD
MK48-5-2603-HH-B	2603	Mk48-5	MCAV	September	Control	HH
MK48-5-2467-HD-B	2467	Mk48-5	MCAV	September	Control	HD
MK48-5-2494-HD-B	2494	Mk48-5	MCAV	September	Control	HD
MK48-5-2494-DD-B	2494	Mk48-5	MCAV	September	Control	DD
MK48-5-2486-HD-B	2486	Mk48-5	MCAV	September	Control	HD
MK48-5-2486-DD-B	2486	Mk48-5	MCAV	September	Control	DD
MK48-5-2465-HH-B	2465	Mk48-5	MCAV	September	Control	HH
MK48-5-2484-HD-B	2484	Mk48-5	MCAV	September	Control	HD
MK48-5-2484-DD-B	2484	Mk48-5	MCAV	September	Control	DD
MK48-5-2458-HD-B	2458	Mk48-5	MCAV	September	Control	HD
MK48-5-2458-DD-B	2458	Mk48-5	MCAV	September	Control	DD
MK48-5-2671-HD-B	2671	Mk48-5	MCAV	September	Control	HD
MK48-5-2671-DD-B	2671	Mk48-5	MCAV	September	Control	DD
MK48-5-2670-HH-B	2670	Mk48-5	MCAV	September	Control	HH
MK48-5-2686-HD-B	2686	Mk48-5	MCAV	September	Control	HD
MK48-5-2686-DD-B	2686	Mk48-5	MCAV	September	Control	DD
MK48-5-2676-HD-B	2676	Mk48-5	MCAV	September	Control	HD
MK48-5-2676-DD-B	2676	Mk48-5	MCAV	September	Control	DD
MK48-5-2654-HH-B	2654	Mk48-5	MCAV	September	Control	HH
MK48-5-2632-HD-B	2632	Mk48-5	MCAV	September	Control	HD
MK48-5-2632-DD-B	2632	Mk48-5	MCAV	September	Control	DD
MK48-5-2681-HD-B	2681	Mk48-5	MCAV	September	Control	HD
MK48-5-2681-DD-B	2681	Mk48-5	MCAV	September	Control	DD
MK48-5-2624-HD-B	2624	Mk48-5	MCAV	September	Control	HD
MK48-5-2624-DD-B	2624	Mk48-5	MCAV	September	Control	DD
MK48-5-2665-HD-B	2665	Mk48-5	MCAV	September	Control	HD
MK48-5-2665-DD-B	2665	Mk48-5	MCAV	September	Control	DD
MK48-5-2644-HD-B	2644	Mk48-5	MCAV	September	Control	HD
MK48-5-2644-DD-B	2644	Mk48-5	MCAV	September	Control	DD
MK48-5-2493-HH-B	2493	Mk48-5	MCAV	September	Background	HH
MK48-5-2492-DD-B	2492	Mk48-5	MCAV	September	Background	DD
MK48-5-2456-HD-B	2456	Mk48-5	MCAV	September	Background	HD
MK48-5-2456-DD-B	2456	Mk48-5	MCAV	September	Background	DD
MK48-5-2471-DD-B	2471	Mk48-5	MCAV	September	Background	DD
MK48-5-2655-HH-B	2655	Mk48-5	MCAV	September	Background	HH
MK48-5-2676-DD-B	2676	Mk48-5	MCAV	September		DD
MK48-5-2467-DD-B	2467	Mk48-5	MCAV	September		DD
MK48-5-2630-H-B	2630	Mk48-5	MCAV	September	100% Completely healthy	H
MK48-5-2495-H-B	2495	Mk48-5	MCAV	September	100% Completely healthy	H
Seawater	SW	Mk48-5	SW	22-Sep		
Seawater #2	SW	Mk48-5	SW	23-Sep		
MK48-5-2668-HD-A	2668	MK48-5	CNAT	May	Probiotic	HD
MK48-5-2668-DD-A	2668	MK48-5	CNAT	May	Probiotic	DD
MK48-5-2660-HD-A	2660	MK48-5	CNAT	May	Probiotic	HD
MK48-5-2660-DD-A	2660	MK48-5	CNAT	May	Probiotic	DD
MK48-5-2625-HD-A	2625	MK48-5	CNAT	May	Probiotic	HD
MK48-5-2625-DD-A	2625	MK48-5	CNAT	May	Probiotic	DD
MK48-5-2620-HD-A	2620	MK48-5	CNAT	May	Probiotic paste only	HD
MK48-5-2620-DD-A	2620	MK48-5	CNAT	May	Probiotic paste only	DD
MK48-5-2700-HD-A	2700	MK48-5	CNAT	May	Probiotic paste only	HD
MK48-5-2700-DD-A	2700	MK48-5	CNAT	May	Probiotic paste only	DD
MK48-5-2667-HD-A	2667	MK48-5	CNAT	May	Control	HD
