""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"BS2-2149-HD-D"	163930	134386	132848	131826	131826
"BS2-2155-DD-D"	156559	132979	129383	126941	126941
"BS2-2155-HD-D"	65632	18520	7581	6285	6285
"BS2-2180-DD-D"	147735	133202	131686	129887	129887
"BS2-2180-HD-D"	43075	35309	33466	32618	32618
"BS2-2407-HD-D"	44467	36077	35425	35213	35213
"BS2-2415-HD-D"	84694	66912	63340	61289	61289
"BS2-2432-HD-D"	25135	13324	13163	12081	12081
"BS2-2433-HD-D"	16408	14218	14088	14058	14058
"BS2-2453-HD-D"	38124	34830	34658	33716	33716
"BS2-2460-HD-D"	32121	27816	27157	26893	26893
"BS2-2464-DD-D"	66284	48923	44329	39328	39328
"BS2-2474-DD-D"	206019	185030	181668	169218	169218
"BS2-2474-HD-D"	93771	58441	56171	55143	55143
"BS2-2475-DD-D"	111032	102434	101711	100750	100750
"BS2-2475-HD-D"	33107	19744	19219	19145	19145
"BS2-2478-HD-D"	70965	27755	11559	9378	9378
"BS2-2479-DD-D"	123507	88166	87123	86221	86221
"BS2-2479-HD-D"	80642	40120	27673	25477	25477
"BS2-2480-DD-D"	128578	93858	89036	87284	87284
"BS2-2480-HD-D"	67470	42087	35708	35011	35011
"BS2-2483-DD-D"	31582	15095	10209	8357	8357
"BS2-2499-HD-D"	141693	123403	121237	118300	118300
"BS2-2500-DD-D"	80516	75138	74954	74110	74110
"BS2-2500-HD-D"	125131	109533	107838	105981	105981
"BS2-2652-DD-D"	178982	165189	162694	159875	159875
"BS2-2652-HD-D"	26645	7983	7793	7782	7782
"BS2-2661-DD-D"	4582	4391	4364	4364	4364
"BS2-2661-HD-D"	27926	23987	23689	23160	23160
"BS2-2662-HH-D"	5387	4647	4576	4416	4416
"BS2-2673-HH-D"	63036	43357	39378	38621	38621
"BS2-2674-DD-D"	32339	30084	29920	29832	29832
"BS2-2674-HD-D"	12873	6199	5964	5905	5905
"BS2-2675-HD-D"	110929	97955	96323	95673	95673
"BS2-2683-HH-D"	35059	21596	18256	17273	17273
"BS2-2685-HD-D"	4026	3548	3512	3509	3509
"BS2-2693-HD-D"	88069	76693	75963	75382	75382
"BS2-2694-HH-D"	109713	96376	95116	93348	93348
